Project;Package;Class;Method;Version;LOC;Statement;Cyclomatic;Cognitive;MethodHistories;AddedLines;MaxAddedLines;AvgAddedLines;DeletedLines;MaxDeletedLines;AvgDeletedLines;Churn;MaxChurn;AvgChurn;BranchPoints;NestingDepth;ParametersCount;Buggy
BOOKKEEPER;org.apache.hedwig.protocol;PubSubRequest;getDescriptor;4.1.0;1;1;1;0;1;3;3;3,00;3;3;3,00;6;6;6,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.protocol;PubSubRequest;getDescriptor;4.1.1;1;1;1;0;14;0;0;0,00;1;1;0,07;1;1;0,07;0;1;0;false
BOOKKEEPER;org.apache.hedwig.protocol;PubSubRequest;getDescriptor;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.protocol;PubSubRequest;getDescriptor;4.2.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.protocol;Builder;getDeliveryThrottleValue;4.1.1;1;1;1;0;2;4;4;4,00;0;0;0,00;4;4;4,00;0;1;0;false
BOOKKEEPER;org.apache.hedwig.protocol;Builder;getDeliveryThrottleValue;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.hedwig.protocol;Builder;getDeliveryThrottleValue;4.2.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.bookkeeper.meta;AsyncListProcessor;process;4.0.0;25;19;5;4;1;35;35;35,00;0;0;0,00;35;35;35,00;4;5;6;true
BOOKKEEPER;org.apache.bookkeeper.meta;AsyncListProcessor;process;4.1.0;25;19;5;4;0;0;0;0,00;0;0;0,00;0;0;0,00;4;5;6;true
BOOKKEEPER;org.apache.bookkeeper.meta;AsyncListProcessor;process;4.1.1;25;19;5;4;0;0;0;0,00;0;0;0,00;0;0;0,00;4;5;6;false
BOOKKEEPER;org.apache.bookkeeper.meta;AsyncListProcessor;process;4.2.0;25;19;5;4;0;0;0;0,00;0;0;0,00;0;0;0,00;4;5;6;false
BOOKKEEPER;org.apache.bookkeeper.meta;AsyncListProcessor;process;4.2.1;25;19;5;4;0;0;0;0,00;0;0;0,00;0;0;0,00;4;5;6;false
BOOKKEEPER;org.apache.bookkeeper.bookie;BufferedChannel;read;4.0.0;42;41;16;47;4;115;55;38,33;42;40;14,00;157;95;52,33;15;11;2;false
BOOKKEEPER;org.apache.bookkeeper.bookie;BufferedChannel;read;4.1.0;42;41;16;47;0;0;0;0,00;0;0;0,00;0;0;0,00;15;11;2;false
BOOKKEEPER;org.apache.bookkeeper.bookie;BufferedChannel;read;4.1.1;42;41;16;47;0;0;0;0,00;0;0;0,00;0;0;0,00;15;11;2;false
BOOKKEEPER;org.apache.bookkeeper.bookie;BufferedChannel;read;4.2.0;42;41;16;47;0;0;0;0,00;0;0;0,00;0;0;0,00;15;11;2;false
